comment,comment_type,tags
As vezes demora pra abrir a tela ,slowness,"{""choices"": [""SLOWNESS""]}"
Mes passado eu tive problemas ao fazer um pix,bug,"{""choices"": [""DIFFICULTY""]}"
Tem App melhores de se mechar ,none,"{""choices"": [""PREFERS_COMPETITOR""]}"
Muitas volta pra encontrar a fatura detalhada ,findability,"{""choices"": [""CLUTTER""]}"
Nao conheco muitos pra comparar ,none,"{""choices"": [""DONT_KNOW""]}"
Ela e bem completa e nao ha nada que precisa ser mudado.,none,"{""choices"": [""COMPLIMENT""]}"
A tela do banco Bradesco e mais clara e tem mais opcoes ,prefers_competitor,"{""choices"": [""PREFERS_COMPETITOR""]}"
"De vez em quando ela da umas travada, mas de resto muito boa, bem simples de entender, ",bug,"{""choices"": [""COMPLIMENT"", ""BUG""]}"
Cada banco possui o app que atende suas necessidades ,none,"{""choices"": [""DONT_KNOW""]}"
Nao tem a parte de investimentos e nao aparece aba de emprestimos e etc,findability,"{""choices"": [""FINDABILITY""]}"
No meu caso demora sim.. ate pelo fato de ter que entrar nas opcoes para procurar algo..Acaba perdendo tempo.. se ja tivesse tudo especificado direto na tela vai ser mais rapido.. As vezes precisamos fazer um pix pagar um boleto e estamos no servico e preciso que seja rapido.. ,slowness,"{""choices"": [""FINDABILITY"", ""SLOWNESS""]}"
O problema e a burocracia pra conseguir um credito ou algo do tipo.,none,"{""choices"": [""LIMIT_INCREASE""]}"
"Essa optimizacao facilitou muito na agilidade do aplicativo, fora que melhorou bastante o visual de entrada, meus parabens aos desenvolvedores. Nada a reclamar ",none,"{""choices"": [""COMPLIMENT""]}"
df gsdf sdf gfsd ,none,"{""choices"": [""GIBBERISH""]}"
Uma aba ta bom ,prefer_older,"{""choices"": [""PREFER_OLDER""]}"
E o melhor APP de banco que ja tive. E perfeito.,liked,"{""choices"": [""COMPLIMENT""]}"
Deixa muito a desejar,none,"{""choices"": [""COMPLAINT""]}"
"Diversas vezes, a tela inicial trava e nao abre de jeito nenhum. Inpossibilitando resgatar o dinheiro guardado ou efetuar pix, ou ate mesmo vizualizar o saldo. Provavelmente por minimas instabilidades na rede, mas mesmo assim, ja deixou a desejar tanto pra mim, quanto pra varios conhecidos.",bug,"{""choices"": [""BUG""]}"
"Tenho curso superior e fico meio perdida, imagina minha mae que e idosa que tambem tem o app",none,"{""choices"": [""CLUTTER""]}"
Uma aba ta bom ,prefer_older,"{""choices"": [""PREFER_OLDER""]}"
Eu tenho que procurar um pouco ate achar algumas informacoes especificas ,findability,"{""choices"": [""FINDABILITY""]}"
Nao acho facilmente os cartoes e as faturas futuras,none,"{""choices"": [""FINDABILITY""]}"
Nao sei ainda nao usei nada.!,dont_know,"{""choices"": [""DONT_KNOW""]}"
Uma aba ta bom demais ,prefer_older,"{""choices"": [""PREFER_OLDER""]}"
Nao conheco muito sobre a tela inicial de outros aplicativos. ,prefers_competitor,"{""choices"": [""DONT_KNOW""]}"
Trava mt ainda mais no iphone,bug,"{""choices"": [""BUG""]}"
Cada um e diferente do outro.,none,"{""choices"": [""DONT_KNOW""]}"
"Inclusao de outros servicos, como financiamento. ",prefers_competitor,"{""choices"": [""WANTS_LENDING"", ""WANTS_PRODUCT""]}"
Acho bem pratico e facil ,likes_tabs,"{""choices"": [""COMPLIMENT""]}"
Nao tenho muito o que falar,dont_know,"{""choices"": [""INDIFFERENT""]}"
Preferia antes sem abas ,prefer_older,"{""choices"": [""PREFER_OLDER""]}"
"A ultima aba ainda e pouco interessante porque encontro poucas ofertas relevantes para meu padrao de consumo (artigos esportivos, eventos e geek)",likes_tabs,"{""choices"": [""COMPLAINT""]}"
Nao pois nao aprova oque precisa ,none,"{""choices"": [""WANTS_PRODUCT""]}"
Existe certas informacoes que nao aparecem ,findability,"{""choices"": [""FINDABILITY""]}"
Nao uso outros bancos.,dont_know,"{""choices"": [""DONT_KNOW""]}"
